CODIGO,NOMBRE,UNITID,PRECIOVENTA,COSTOFINANCIERO,IDLINEA,IDCATEGORIA,CodIDProveedor,ESTADO,TIPOFABRICANTE,NUMEROPARTE,LINEA,CATEGORIA,UEN,MARCA,PRECIOMINIMO,DESCRIPCION,IMAGEN150,IMAGEN450
MARSAL0940,A/C SENSOR TEMPERATURA CABLE,UN,15290,4511.1,5637148441,5637148330,17077679/0001-10,Comercial,OEM,007-00007-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,WEBASTO,12609,TODAS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0940.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0940.jpg?alt=media
MARSAL1249,A/C SENSOR TEMPERATURA CABLE,UN,12590,1971.1,5637148441,5637148330,2.11E+13,Comercial,ALTERNATIVO,007-00007-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,TRANSACTA,7950,TODAS TRANSACTA,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL1249.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL1249.jpg?alt=media
MARSAL0907,A/C MODULO DE CONTROL ELECTRONICO GLW-161,UN,141990,55675.4,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,007-00008-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,141135,SPHEROS GLW 161 / SIN RENOVACION / AEROSPFER 300/330/350 / CC160/300/350 / REEMPLAZA A GLT040 / 12V/24V,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0907.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0907.jpg?alt=media
MARSAL0935,A/C PLACA RELES GLW122,UN,223390,64990.1,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,007-00022-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,183783,CC430 PARADISO 1800 DD,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0935.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0935.jpg?alt=media
MARSAL0936,A/C PLACA RELES GLW123,UN,259290,74352.2,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,007-00023-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,WEBASTO,201728,CC430 PARADISO 1800 DD,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0936.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0936.jpg?alt=media
MARSAL0908,A/C MODULO DE CONTROL ELECTRONICO GLW-180,UN,212990,72019.5,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,007-00041-000_3,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,WEBASTO,169266,SPHEROS GLW 180 / CC430 PARADISO 1800 DD,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0908.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0908.jpg?alt=media
MARSAL0675,A/C SENSOR Tº INTERNO,UN,14790,7886.5,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,007-00042-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,12354,TODOS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0675.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0675.jpg?alt=media
MARSAL0954,A/C MODULO DE CONTROL ELECTRONICO GLW-163,UN,160890,56912.2,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,007-00089-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,133750,SPHEROS GLW 163 / TODOS / CON RENOVACION / AEROSPHER 300/330/350 / CC300/350 / 12V/24V,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0954.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0954.jpg?alt=media
MARSAL0919,A/C FUSIBLE 125A,UN,8790,3453.3,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,008-00025-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,WEBASTO,7375,CC300/350 / RODOVIARIOS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0919.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0919.jpg?alt=media
MARSAL0942,A/C TERMOSTATO ANTICONGELAMIENTO,UN,25290,10102.1,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,010-00016-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,19084,TODAS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0942.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0942.jpg?alt=media
MARSAL0672,A/C PRESOSTATO ALTA PRESION PMAX418BPSH 6A 240VAC,UN,20090,8070.8,5637148441,5637148330,17077679/0001-10,Comercial,GENUINO,010-00018-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,WEBASTO,21346,TODOS LOS COMPRESORES / SPHEROS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0672.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0672.jpg?alt=media
MARSAL0673,A/C PRESOSTATO BAJA PRESION,UN,19790,8113.7,5637148441,5637148330,17077679/0001-10,Comercial,GENUINO,010-00019-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,WEBASTO,17197,TODOS LOS COMPRESORES / SPHEROS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0673.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0673.jpg?alt=media
MARSAL1081,A/C VALVULA EXPANSIÓN 2.5 TN / NUEVA / CHOFER G7,UN,53190,13691.8,5637148441,5637148330,17077679/0001-10,Normal,OEM,012-00005-001_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,44971,CC140/150/160 VOLARE / VALVULA EXPANSION AIRE ACONDICIONADO CHOFER G7,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL1081.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL1081.jpg?alt=media
MARSAL0914,A/C FILTRO DESHIDRATADOR 5/8 ORING INTERNO / NUEVO,UN,59890,11619.4,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,012-00086-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,WEBASTO,45630,CONEXION 1 PULG / CC230/300/350 RODOVIARIOS /430 PARADISO 1800 DD,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0914.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0914.jpg?alt=media
MARSAL1296,"VALVULA DE EXPANSION TGEN 3,5TR",Un,69990,47879,5637148441,5637148330,17077679/0001-10,Comercial,GENUINO,012-00135-000,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,VALEO,69990,TORINO NORMAL Y ARTICULADO TRANSANTIAGO 2019 / EQUIPOS CC355 Y CC640,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL1296.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL1296.jpg?alt=media
MARSAL0920,A/C FUSIBLE 175A,UN,8690,1848.3,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,015-00030-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,7388,CC430 PARADISO 1800 DD,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0920.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0920.jpg?alt=media
MARSAL0941,A/C CAJA / SOPORTE / PARA FUSIBLE 125A,UN,18990,5815.5,5637148441,5637148330,17077679/0001-10,Normal,OEM,015-00031-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,15467,CC160T/170T/200 SENIOR/ 300/350 RODOVIARIOS / 430 PARADISO 1800 DD,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0941.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0941.jpg?alt=media
CMPACC0002,TAPA CROMADA EJE TRASERO,UN,16790,6434.2,5637148382,5637147580,2427,Normal,ALTERNATIVO 1,017-020_1,TAPAS DE RUEDA,CABINA EXTERIOR CAMIONES,CABINA CAMIONES,MULTIPARTES,13651,PLASTICO CROMADO  10 HOYOS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FCMPACC0002.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FCMPACC0002.jpg?alt=media
CMPACC0001,TAPA CROMADA EJE DELANTERO,UN,14790,5341.9,5637148382,5637147580,2427,Normal,ALTERNATIVO 1,017-021_1,TAPAS DE RUEDA,CABINA EXTERIOR CAMIONES,CABINA CAMIONES,MULTIPARTES,11946,PLASTICO CROMADO  10 HOYOS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FCMPACC0001.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FCMPACC0001.jpg?alt=media
CMPACC0003,TAPA TUERCA CROMADA 33MM - REFLEX.  CRISTAL,UN,9990,4853.5,5637148382,5637147580,2427,Normal,ALTERNATIVO,017-022-6,TAPAS DE RUEDA,CABINA EXTERIOR CAMIONES,CABINA CAMIONES,MULTIPARTES,10571,PACK 10 UNIDADES - PLASTICO CROMADO,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FCMPACC0003.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FCMPACC0003.jpg?alt=media
CMPACC0015,TAPA TUERCA CROMADA 33MM - CONICA,Un,11990,5200.8,5637148382,5637147580,2427,Comercial,ALTERNATIVO,017-024-4,TAPAS DE RUEDA,CABINA EXTERIOR CAMIONES,CABINA CAMIONES,BLACKSMITH,11990,PACK 10 UNIDADES - PLASTICO CROMADO,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FCMPACC0015.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FCMPACC0015.jpg?alt=media
HERCAR0023,ADHSIVO EPOXICO NEGRO PEGATANKE,Un,6990,4203.5,5637148621,5637148369,76543035-6,Comercial,GENUINO,01PTKNegro BL,ADHESIVOS,SELLANTES Y ADHESIVOS,SEGURIDAD Y HERRAMIENTAS,3M,6990,ADHSIVO EPOXICO NEGRO-SOLDADURA EN FRIO PEGATANKE,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FHERCAR0023.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FHERCAR0023.jpg?alt=media
MARSAL0952,A/C MOTOR VENTILADOR CONDENSADOR DCM 24VCC,UN,230490,64465.3,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,021-00003-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,180515,CC140/150/160/165S/170S / VOLARE TB11S3001,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0952.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0952.jpg?alt=media
MARSAL0669,A/C MOTOR VENTILADOR EVAPORADOR SPAL 24 V,UN,178090,72026.8,5637148441,5637148330,17077679/0001-10,Comercial,GENUINO,021-00014-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,136409,SPHEROS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0669.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0669.jpg?alt=media
MARSAL0676,A/C MOTOR VENTILADOR AXIAL CONDENSADOR SPAL 24V,UN,166990,67118.5,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,021-00015-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,WEBASTO,141237,SPHEROS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0676.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0676.jpg?alt=media
MARSAL1217,A/C MOTOR VENTILADOR AXIAL CONDENSADOR TRANSACTA  24V,UN,74690,18681,5637148441,5637148330,2.11E+13,Normal,ALTERNATIVO 1,021-00063-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,130600,TRANSACTA,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL1217.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL1217.jpg?alt=media
MARSAL1222,"MOTOR VENTILADOR RADIAL EVAPORADOR ""SPHEROS/VALEO"" 24 VOLTS",UN,89090,25726.6,5637148441,5637148330,2.11E+13,Comercial,GENUINO,021-00064-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,VALEO,74589,TODOS LOS MODELOS,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL1222.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL1222.jpg?alt=media
JANLLA0002,LLANTA ARTILLERA 8.50X24 HD,UN,112390,59763.8,5637171580,5637170832,46,Normal,ALTERNATIVO 1,2483,LLANTAS ACERO,LLANTAS,RODADO,JANTSA,121280,P:48 KG CARGA 4500 KG JANTSA TURCA GRIS PLATA,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FJANLLA0002.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FJANLLA0002.jpg?alt=media
HERCAR0024,ADHSIVO EPOXICO BLANCO PEGATANKE,Un,6990,4196.2,5637148621,5637148369,76543035-6,Comercial,GENUINO,02PTKBlanco BL,ADHESIVOS,SELLANTES Y ADHESIVOS,SEGURIDAD Y HERRAMIENTAS,3M,6990,ADHSIVO EPOXICO BLANCO-SOLDADURA EN FRIO PEGATANKE,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FHERCAR0024.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FHERCAR0024.jpg?alt=media
MWMMOT0478,O RING CAMISA MOTOR,UN,3190,944.8,5637148564,5637148357,3172,Descontinuado,OEM,0302AAV00110N_1,EMPAQUETADURAS / RETENES / SELLOS,MOTOR,POTENCIA Y TRANSMISION,MWM,2879,MWM 410/610TCA  MWM 412/612TCA ELECT,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMWMMOT0478.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMWMMOT0478.jpg?alt=media
MARSAL1114,A/C CORREA V DOBLE DENTADA 2/BX81 COMPRESOR B10R,UN,31890,16691.3,5637148441,5637148330,93725000-2,Comercial,OEM,033-00187-000_2,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,GOODYEAR,38646,2/BX81/17X2135,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL1114.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL1114.jpg?alt=media
MARSAL0970,A/C SOPORTE AMORTIGUADOR BASE COMPRESOR BITZER,UN,80890,23179.9,5637148441,5637148330,17077679/0001-10,Normal,GENUINO,039-00031-000_1,AIRE ACONDICIONADO CLIMATIZACIÓN,CLIMATIZACION,CARROCERIAS BUSES,SPHEROS,65115,NO DISTRIBUIR,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/150%2FMARSAL0970.jpg?alt=media,https://firebasestorage.googleapis.com/v0/b/imagenimplementos.appspot.com/o/450%2FMARSAL0970.jpg?alt=media
